,entity_class,start_pos,end_pos,content
0,ZH,130,134,脾失健运
1,ZH,160,164,脾失健运
2,ZH,10,14,肝胃不和
3,SX,10,14,肝胃不和
4,ZZ,27,31,不思饮食
5,ZZ,427,431,倦怠乏力
6,ZZ,178,182,心悸气短
7,ZZ,343,347,心悸气短
8,ZZ,173,177,腰酸乏力
9,ZZ,10,14,肝胃不和
10,FY,248,251,旋复花
11,FY,241,244,代赭石
12,FJ,208,211,二陈汤
13,ZH,10,13,肝胃不
14,ZH,91,94,肝郁气
15,MX,359,362,脉弦滑
16,SX,363,366,舌质红
17,SX,367,370,苔薄白
18,FY,258,260,枳壳
19,FY,242,244,赭石
20,FY,270,272,党参
21,FY,311,313,生姜
22,FY,249,251,复花
23,FY,282,284,半夏
24,FY,306,308,甘草
25,FY,300,302,降香
26,FY,264,266,青皮
27,FY,276,278,茯苓
28,FY,199,201,代赭
29,FY,241,243,代赭
30,FY,288,290,木香
31,FY,294,296,沉香
32,ZH,165,167,气血
33,ZH,142,144,气郁
34,ZF,185,187,疏肝
35,MX,359,361,脉弦
36,SX,367,369,苔薄
37,ZZ,178,180,心悸
38,ZZ,343,345,心悸
39,ZZ,175,177,乏力
40,ZZ,340,342,乏力
41,ZZ,429,431,乏力
42,ZZ,427,429,倦怠
43,ZZ,468,470,倦怠
44,ZZ,497,499,倦怠
45,ZZ,48,50,疼痛
46,ZZ,335,337,疼痛
47,ZZ,414,416,疼痛
48,ZZ,114,116,胸痛
49,ZZ,180,182,气短
50,ZZ,345,347,气短
51,ZZ,173,175,腰酸
52,ZZ,58,60,发热
53,ZZ,157,159,发热
54,ZZ,399,401,发热
55,ZZ,142,144,气郁
56,ZZ,136,138,腹泻
57,ZZ,351,353,腹泻
58,ZZ,402,404,腹泻
59,FY,312,313,姜
