,entity_class,start_pos,end_pos,content
0,FJ,342,346,小柴胡汤
1,FJ,433,437,小柴胡汤
2,FJ,757,761,小柴胡汤
3,ZH,299,303,湿热内蕴
4,ZH,404,408,活血止痛
5,ZH,329,333,脾失健运
6,ZF,351,355,疏肝利胆
7,ZF,402,406,行气活血
8,ZZ,563,567,不思饮食
9,ZZ,319,323,横逆犯胃
10,ZZ,36,40,上腹疼痛
11,ZZ,78,82,上腹疼痛
12,ZZ,151,155,上腹疼痛
13,ZZ,643,647,口干溺黄
14,ZZ,314,318,口干口苦
15,ZZ,548,552,口干口苦
16,ZZ,553,557,恶心欲吐
17,ZZ,324,328,恶心呕吐
18,FY,496,499,炙甘草
19,FY,380,383,鸡内金
20,FY,657,660,鸡内金
21,FY,892,895,鸡内金
22,FY,792,795,生甘草
23,FY,458,461,清半夏
24,FY,785,788,清半夏
25,FY,370,373,金钱草
26,FY,805,808,金钱草
27,FY,342,345,小柴胡
28,FY,433,436,小柴胡
29,FY,757,760,小柴胡
30,FY,888,891,海金沙
31,FJ,343,346,柴胡汤
32,FJ,434,437,柴胡汤
33,FJ,758,761,柴胡汤
34,ZH,299,302,湿热内
35,ZH,21,24,气机郁
36,ZH,294,297,气机郁
37,ZH,6,9,肝胆湿
38,ZH,421,424,肝胆湿
39,MX,744,747,脉细弦
40,SX,577,580,苔薄白
41,SX,573,576,舌淡红
42,SX,740,743,舌淡暗
43,FY,67,69,于术
44,FY,377,379,郁金
45,FY,471,473,郁金
46,FY,818,820,郁金
47,FY,478,480,瓜萎
48,FY,502,504,生姜
49,FY,848,850,生姜
50,FY,896,898,菊花
51,FY,452,454,沙参
52,FY,779,781,沙参
53,FY,459,461,半夏
54,FY,786,788,半夏
55,FY,497,499,甘草
56,FY,793,795,甘草
57,FY,390,392,白术
58,FY,824,826,白术
59,FY,357,359,瓜蒌
60,FY,400,402,元胡
61,FY,490,492,元胡
62,FY,842,844,元胡
63,FY,360,362,薤白
64,FY,484,486,薤白
65,FY,507,509,大枣
66,FY,853,855,大枣
67,FY,367,369,茵陈
68,FY,651,653,茵陈
69,FY,799,801,茵陈
70,FY,374,376,菖蒲
71,FY,465,467,菖蒲
72,FY,812,814,菖蒲
73,FY,446,448,黄芩
74,FY,773,775,黄芩
75,FY,343,345,柴胡
76,FY,434,436,柴胡
77,FY,440,442,柴胡
78,FY,758,760,柴胡
79,FY,767,769,柴胡
80,FY,393,395,陈皮
81,FY,830,832,陈皮
82,FY,836,838,羌活
83,ZF,402,404,行气
84,ZF,387,389,止痛
85,ZF,406,408,止痛
86,ZF,404,406,活血
87,ZF,351,353,疏肝
88,MX,581,583,脉弦
89,MX,744,746,脉细
90,SX,573,575,舌淡
91,SX,740,742,舌淡
92,SX,577,579,苔薄
93,ZZ,558,560,嗳气
94,ZZ,334,336,便溏
95,ZZ,101,103,呕吐
96,ZZ,326,328,呕吐
97,ZZ,38,40,疼痛
98,ZZ,80,82,疼痛
99,ZZ,153,155,疼痛
100,ZZ,534,536,疼痛
101,ZZ,316,318,口苦
102,ZZ,550,552,口苦
103,ZZ,727,729,口苦
104,ZZ,880,882,口苦
105,ZZ,0,2,腹痛
106,ZZ,3,5,腹痛
107,ZZ,187,189,腹痛
108,ZZ,529,531,腹痛
109,ZZ,624,626,腹痛
110,ZZ,686,688,腹痛
111,ZZ,877,879,腹痛
112,ZZ,98,100,恶心
113,ZZ,324,326,恶心
114,ZZ,553,555,恶心
115,ZZ,729,731,恶心
116,ZZ,336,338,泄泻
117,ZZ,314,316,口干
118,ZZ,548,550,口干
119,ZZ,643,645,口干
120,FY,900,901,蜜
121,FY,508,509,枣
122,FY,854,855,枣
123,FY,380,381,鸡
124,FY,657,658,鸡
125,FY,892,893,鸡
126,FY,447,448,芩
127,FY,774,775,芩
128,FY,503,504,姜
129,FY,849,850,姜
