,entity_class,start_pos,end_pos,content
0,FJ,985,990,乌鸡白凤丸
1,ZH,111,115,气血两虚
2,ZZ,121,125,腰膝酸软
3,ZZ,88,92,月经不调
4,ZZ,126,130,月经量少
5,FY,236,239,五灵脂
6,FY,962,965,五灵脂
7,FY,720,723,巴豆油
8,FY,867,870,反甘遂
9,FY,843,846,反藜芦
10,FJ,987,990,白凤丸
11,ZH,111,114,气血两
12,ZZ,127,130,经量少
13,FY,877,879,芫花
14,FY,892,894,芫花
15,FY,237,239,灵脂
16,FY,963,965,灵脂
17,FY,524,526,大鼠
18,FY,578,580,大鼠
19,FY,609,611,大鼠
20,FY,741,743,大鼠
21,FY,747,749,大鼠
22,FY,874,876,海藻
23,FY,889,891,海藻
24,FY,837,839,人参
25,FY,255,257,萝卜
26,FY,953,955,萝卜
27,FY,864,866,甘草
28,FY,720,722,巴豆
29,FY,871,873,大戟
30,FY,886,888,大戟
31,FY,233,235,藜芦
32,FY,844,846,藜芦
33,FY,850,852,藜芦
34,FY,840,842,白芍
35,FY,985,987,乌鸡
36,FY,568,570,乳糖
37,FY,868,870,甘遂
38,FY,883,885,甘遂
39,FY,240,242,皂荚
40,FY,966,968,皂荚
41,FJ,217,219,感冒
42,ZH,111,113,气血
43,ZF,78,80,养血
44,ZF,101,103,养血
45,ZZ,128,130,量少
46,ZZ,729,731,肿胀
47,ZZ,744,746,肿胀
48,ZZ,95,97,腹痛
49,ZZ,488,490,出血
50,FY,5,6,蜜
51,FY,65,66,蜜
52,FY,252,253,茶
53,FY,950,951,茶
54,FY,699,700,鸡
55,FY,986,987,鸡
56,FY,929,930,酒
57,FY,722,723,油
58,FY,915,916,油
