,entity_class,start_pos,end_pos,content
0,FY,162,166,六君子汤
1,FJ,162,166,六君子汤
2,ZH,130,134,脾胃虚弱
3,ZZ,55,59,大便溏薄
4,ZZ,103,107,食少腹胀
5,ZZ,40,44,食后腹胀
6,ZZ,130,134,脾胃虚弱
7,FY,192,195,炙甘草
8,FY,214,217,吴茱萸
9,FJ,167,170,左金丸
10,ZH,130,133,脾胃虚
11,ZH,92,95,虚实夹
12,MX,64,67,脉弦细
13,ZZ,55,58,大便溏
14,FY,171,173,党参
15,FY,214,216,吴茱
16,FY,200,202,半夏
17,FY,193,195,甘草
18,FY,178,180,白术
19,FY,215,217,茱萸
20,FY,185,187,茯苓
21,FY,221,223,黄连
22,FY,207,209,陈皮
23,FJ,168,170,金丸
24,MX,64,66,脉弦
25,MX,118,120,脉弦
26,SX,61,63,苔白
27,ZZ,30,32,嗳气
28,ZZ,113,115,嗳气
29,ZZ,56,58,便溏
30,ZZ,110,112,便溏
31,ZZ,8,10,脾虚
32,ZZ,74,76,脾虚
33,ZZ,52,54,乏力
34,ZZ,108,110,乏力
35,ZZ,42,44,腹胀
36,ZZ,105,107,腹胀
37,ZZ,37,39,纳呆
38,ZZ,46,48,脘痞
39,ZZ,35,37,食少
40,ZZ,103,105,食少
