,entity_class,start_pos,end_pos,content
0,ZH,498,502,湿热下注
1,ZH,510,514,湿热下注
2,ZH,635,639,湿热下注
3,ZH,646,650,湿热下注
4,ZH,662,666,湿热下注
5,ZH,691,695,湿热下注
6,ZZ,708,712,带下量多
7,ZZ,498,502,湿热下注
8,ZZ,510,514,湿热下注
9,ZZ,635,639,湿热下注
10,ZZ,646,650,湿热下注
11,ZZ,662,666,湿热下注
12,ZZ,691,695,湿热下注
13,ZH,498,501,湿热下
14,ZH,510,513,湿热下
15,ZH,635,638,湿热下
16,ZH,646,649,湿热下
17,ZH,662,665,湿热下
18,ZH,691,694,湿热下
19,ZF,623,625,清热
20,ZF,650,652,清热
21,ZF,679,681,清热
22,ZZ,675,677,灼热
23,ZZ,704,706,灼热
24,ZZ,298,300,尿痛
25,ZZ,278,280,尿频
26,ZZ,292,294,尿频
27,ZZ,211,213,瘙痒
28,ZZ,252,254,瘙痒
29,ZZ,644,646,瘙痒
30,ZZ,671,673,瘙痒
31,ZZ,700,702,瘙痒
