,entity_class,start_pos,end_pos,content
0,ZF,371,375,疏肝解郁
1,ZZ,400,404,烦躁易怒
2,ZZ,470,474,烦躁易怒
3,ZZ,185,189,心悸气短
4,ZZ,395,399,心悸气短
5,ZZ,465,469,心悸气短
6,FY,128,131,五灵脂
7,FY,129,131,灵脂
8,FY,145,147,萝卜
9,FY,125,127,藜芦
10,FY,132,134,皂荚
11,FJ,258,260,感冒
12,ZF,378,380,养血
13,ZF,371,373,疏肝
14,ZZ,402,404,易怒
15,ZZ,472,474,易怒
16,ZZ,185,187,心悸
17,ZZ,395,397,心悸
18,ZZ,465,467,心悸
19,ZZ,407,409,失眠
20,ZZ,477,479,失眠
21,ZZ,187,189,气短
22,ZZ,397,399,气短
23,ZZ,467,469,气短
24,ZZ,405,407,眩晕
25,ZZ,475,477,眩晕
26,ZZ,400,402,烦躁
27,ZZ,470,472,烦躁
28,ZZ,412,414,汗出
29,ZZ,482,484,汗出
30,FY,71,72,蜜
31,FY,91,92,蜜
32,FY,543,544,蜜
33,FY,142,143,茶
34,FY,85,86,油
35,FY,105,106,油
