,entity_class,start_pos,end_pos,content
0,ZH,386,390,迫血妄行
1,ZZ,419,423,口渴欲饮
2,ZZ,229,233,横逆犯胃
3,ZZ,429,433,烦躁不安
4,FY,342,345,炮姜炭
5,FY,350,353,炙甘草
6,FY,324,327,全当归
7,FY,288,291,酒大黄
8,FJ,273,276,生化汤
9,FJ,317,320,生化汤
10,ZH,381,384,血热伤
11,ZH,262,265,肝火上
12,FY,335,337,桃仁
13,FY,330,332,川芎
14,FY,351,353,甘草
15,FY,123,125,大黄
16,FY,163,165,大黄
17,FY,289,291,大黄
18,FY,321,323,大黄
19,FY,356,358,大黄
20,FY,301,303,姜炭
21,FY,343,345,姜炭
22,FY,325,327,当归
23,FY,187,189,柴胡
24,FY,342,344,炮姜
25,FJ,174,176,通便
26,ZF,190,192,清热
27,MX,250,252,脉弦
28,MX,392,394,脉弦
29,SX,257,259,苔黄
30,SX,399,401,苔黄
31,ZZ,403,405,面红
32,ZZ,0,2,吐血
33,ZZ,3,5,吐血
34,ZZ,37,39,吐血
35,ZZ,99,101,吐血
36,ZZ,196,198,吐血
37,ZZ,240,242,吐血
38,ZZ,408,410,吐血
39,ZZ,419,421,口渴
40,ZZ,429,431,烦躁
41,ZZ,117,119,出血
42,ZZ,133,135,出血
43,FY,331,332,芎
44,FY,301,302,姜
45,FY,343,344,姜
46,FY,58,59,酒
47,FY,76,77,酒
48,FY,288,289,酒
49,FY,359,360,酒
