,entity_class,start_pos,end_pos,content
0,ZZ,225,229,小溲短赤
1,FY,449,452,怀山药
2,FJ,405,408,异功散
3,FY,330,332,银花
4,FY,287,289,滑石
5,FY,326,328,滑石
6,FY,108,110,葛根
7,FY,160,162,葛根
8,FY,280,282,葛根
9,FY,170,172,川归
10,FY,180,182,生草
11,FY,292,294,荆芥
12,FY,444,446,炙草
13,FY,439,441,白术
14,FY,205,207,厚朴
15,FY,386,388,阿胶
16,FY,195,197,白芍
17,FY,455,457,砂仁
18,FY,424,426,扁豆
19,FY,434,436,大枣
20,FY,335,337,地榆
21,FY,419,421,茯苓
22,FY,105,107,生军
23,FY,185,187,生军
24,FY,283,285,生军
25,FY,200,202,木香
26,FY,372,374,木香
27,FY,190,192,黄芩
28,FY,165,167,黄连
29,FY,465,467,木瓜
30,FY,175,177,槟榔
31,FY,369,371,槟榔
32,FY,429,431,陈皮
33,FY,376,378,生地
34,FY,381,383,苁蓉
35,FY,450,452,山药
36,ZF,140,142,调气
37,MX,220,222,脉数
38,SX,222,224,苔黄
39,ZZ,53,55,麻木
40,ZZ,16,18,腹痛
41,ZZ,32,34,口渴
42,ZZ,29,31,发热
43,FY,435,436,枣
44,FY,191,192,芩
45,FY,53,54,麻
