,entity_class,start_pos,end_pos,content
0,FJ,239,243,四君子汤
1,ZH,20,24,湿热内蕴
2,ZH,150,154,湿热内蕴
3,ZH,145,149,脾虚气滞
4,ZF,164,168,清热利湿
5,ZZ,111,115,少气懒言
6,ZZ,414,418,少气懒言
7,ZZ,116,120,形体消瘦
8,ZZ,419,423,形体消瘦
9,ZZ,106,110,神疲乏力
10,ZZ,409,413,神疲乏力
11,FY,365,368,炙甘草
12,FY,369,372,川厚朴
13,FY,347,350,云茯苓
14,ZH,145,148,脾虚气
15,ZH,10,13,脾气虚
16,ZH,20,23,湿热内
17,ZH,150,153,湿热内
18,ZH,15,18,气机郁
19,ZH,312,315,脾虚湿
20,ZH,314,317,湿热蕴
21,SX,130,133,苔黄腻
22,SX,470,473,苔黄腻
23,ZZ,31,34,下腹痛
24,ZZ,429,432,下腹痛
25,FY,248,250,川朴
26,FY,355,357,党参
27,FY,366,368,甘草
28,FY,344,346,白术
29,FY,370,372,厚朴
30,FY,261,263,肉桂
31,FY,390,392,肉桂
32,FY,173,175,苦参
33,FY,185,187,苦参
34,FY,332,334,苦参
35,FY,230,232,槐花
36,FY,338,340,槐花
37,FY,348,350,茯苓
38,FY,251,253,枳实
39,FY,384,386,枳实
40,FY,254,256,木香
41,FY,373,375,木香
42,FY,219,221,茵陈
43,FY,358,360,茵陈
44,ZH,147,149,气滞
45,ZF,164,166,清热
46,ZF,175,177,清热
47,ZF,225,227,清热
48,ZF,301,303,清热
49,ZF,256,258,行气
50,ZF,296,298,行气
51,MX,474,476,脉弦
52,SX,467,469,舌淡
53,SX,130,132,苔黄
54,SX,470,472,苔黄
55,ZZ,145,147,脾虚
56,ZZ,312,314,脾虚
57,ZZ,106,108,神疲
58,ZZ,409,411,神疲
59,ZZ,108,110,乏力
60,ZZ,411,413,乏力
61,ZZ,479,481,乏力
62,ZZ,118,120,消瘦
63,ZZ,421,423,消瘦
64,ZZ,32,34,腹痛
65,ZZ,430,432,腹痛
66,ZZ,123,125,泄泻
67,ZZ,425,427,纳差
68,FY,262,263,桂
69,FY,391,392,桂
