,entity_class,start_pos,end_pos,content
0,ZZ,37,42,不消化食物
1,ZH,187,191,大便秘结
2,ZH,7,11,饮食停滞
3,ZZ,224,228,不思饮食
4,ZZ,234,238,大便或溏
5,ZZ,72,76,胃脘胀痛
6,ZZ,187,191,大便秘结
7,ZZ,229,233,食后胀甚
8,ZZ,21,25,脘腹胀痛
9,FY,421,424,炒麦芽
10,FY,377,380,焦山楂
11,FY,386,389,莱菔子
12,FJ,364,367,保和丸
13,ZH,151,154,虚实夹
14,MX,199,202,脉滑数
15,SX,243,246,舌质淡
16,ZZ,3,6,胃脘痛
17,FY,378,380,山楂
18,FY,401,403,半夏
19,FY,370,372,神曲
20,FY,414,416,连翘
21,FY,407,409,茯苓
22,FY,422,424,麦芽
23,FY,394,396,陈皮
24,ZF,286,288,止痛
25,ZF,348,350,止痛
26,MX,59,61,脉滑
27,MX,199,201,脉滑
28,SX,193,195,苔黄
29,ZZ,18,20,拒按
30,ZZ,184,186,拒按
31,ZZ,35,37,呕吐
32,ZZ,188,190,便秘
33,ZZ,303,305,便秘
34,ZZ,22,24,腹胀
35,ZZ,220,222,腹胀
36,ZZ,274,276,疼痛
37,ZZ,31,33,厌食
38,ZZ,82,84,厌食
39,ZZ,0,2,胃痛
40,ZZ,179,181,胃痛
41,ZZ,216,218,胃痛
42,FY,422,423,麦
43,FY,115,116,酒
