,entity_class,start_pos,end_pos,content
0,FJ,286,291,知柏地黄汤
1,MX,65,70,脉细数无力
2,ZH,161,165,肝肾阴虚
3,ZH,6,10,阴虚火旺
4,ZH,212,216,肾阳不足
5,ZH,166,170,虚火上炎
6,ZH,259,263,虚火上炎
7,ZH,142,146,肾阴不足
8,ZH,173,177,肾阴不足
9,ZH,200,204,肾阴不足
10,ZH,254,258,肾阴不足
11,ZF,281,285,凉血止血
12,ZF,276,280,滋阴降火
13,MX,193,197,脉弦细数
14,ZZ,45,49,潮热盗汗
15,ZZ,237,241,四肢欠温
16,ZZ,50,54,腰膝酸软
17,ZZ,183,187,急躁易怒
18,ZZ,40,44,失眠多梦
19,ZZ,32,36,口燥咽干
20,FY,308,311,山萸肉
21,FY,346,349,白茅根
22,FJ,288,291,地黄汤
23,ZH,6,9,阴虚火
24,ZH,166,169,虚火上
25,ZH,217,220,虚火上
26,ZH,259,262,虚火上
27,ZH,142,145,肾阴不
28,ZH,173,176,肾阴不
29,ZH,200,203,肾阴不
30,ZH,254,257,肾阴不
31,ZH,161,164,肝肾阴
32,MX,65,68,脉细数
33,MX,193,196,脉弦细
34,FY,328,330,丹皮
35,FY,294,296,熟地
36,FY,308,310,山萸
37,FY,309,311,萸肉
38,FY,340,342,黄柏
39,FY,334,336,知母
40,FY,322,324,泽泻
41,FY,347,349,茅根
42,FY,34,36,咽干
43,FY,288,290,地黄
44,FY,316,318,茯苓
45,FY,354,356,藕节
46,FY,301,303,山药
47,MX,193,195,脉弦
48,MX,65,67,脉细
49,SX,60,62,少苔
50,ZZ,185,187,易怒
51,ZZ,42,44,多梦
52,ZZ,47,49,盗汗
53,ZZ,34,36,咽干
54,ZZ,40,42,失眠
55,ZZ,27,29,疼痛
56,ZZ,188,190,口苦
57,ZZ,103,105,腰酸
58,ZZ,37,39,耳鸣
59,ZZ,101,103,耳鸣
60,ZZ,190,192,胁痛
61,FY,354,355,藕
