word,label,bound,flag,radical,pinyin
厌,B-ZZ,B,v,厂,yàn
食,E-ZZ,E,v,飠,shí
。,O,S,x,UNK,UNK
恶,O,B,n,心,è
食,O,E,n,飠,shí
。,O,S,x,UNK,UNK
宿,O,B,n,宀,sù
食,O,E,n,飠,shí
内,O,S,f,冂,nèi
停,O,S,v,亻,tíng
。,O,S,x,UNK,UNK
临,O,B,i,丨,lín
床,O,M,i,广,chuáng
表,O,M,i,衣,biǎo
现,O,E,i,见,xiàn
厌,B-ZZ,B,v,厂,yàn
食,E-ZZ,E,v,飠,shí
、,O,S,x,UNK,UNK
恶,O,B,n,心,è
闻,O,E,n,门,wén
食,O,B,n,飠,shí
臭,O,E,n,自,chòu
，,O,S,x,UNK,UNK
或,O,S,c,戈,huò
呕,B-ZZ,B,v,口,ǒu
吐,E-ZZ,E,v,口,tǔ
食,O,B,n,飠,shí
物,O,E,n,牜,wù
.,O,S,x,UNK,UNK
嗳,B-ZZ,B,n,口,ǎi
气,E-ZZ,E,n,气,qì
酸,O,B,n,酉,suān
腐,O,E,n,肉,fǔ
.,O,S,m,UNK,UNK
脘,O,S,g,月,wǎn
腹,B-ZZ,B,n,月,fù
胀,E-ZZ,M,n,月,zhàng
满,O,E,n,氵,mǎn
，,O,S,x,UNK,UNK
或,O,S,c,戈,huò
大,O,B,d,大,dà
便,O,E,d,亻,biàn
不,O,S,d,一,bù
调,O,S,v,讠,tiáo
，,O,S,x,UNK,UNK
舌,B-SX,B,n,舌,shé
苔,I-SX,E,n,艹,tái
厚,I-SX,B,a,厂,hòu
腻,E-SX,E,a,月,nì
，,O,S,x,UNK,UNK
seg,seg,seg,seg,seg,seg
脉,B-MX,B,n,月,mài
滑,E-MX,E,n,氵,huá
。,O,S,x,UNK,UNK
辨,O,B,v,辛,biàn
证,O,E,v,讠,zhèng
提,O,B,v,扌,tí
要,O,E,v,覀,yào
①,O,S,x,UNK,UNK
辨,O,B,v,辛,biàn
证,O,E,v,讠,zhèng
要,O,B,n,覀,yào
点,O,E,n,灬,diǎn
:,O,S,x,UNK,UNK
恶,O,B,n,心,è
闻,O,E,n,门,wén
食,O,B,n,飠,shí
臭,O,E,n,自,chòu
.,O,S,m,UNK,UNK
嗳,B-ZZ,B,n,口,ǎi
气,E-ZZ,E,n,气,qì
酸,O,B,n,酉,suān
腐,O,E,n,肉,fǔ
.,O,S,m,UNK,UNK
有,O,S,v,月,yǒu
伤,O,B,n,亻,shāng
食,O,E,n,飠,shí
的,O,S,uj,白,dí
病,O,B,n,疒,bìng
史,O,E,n,口,shǐ
。,O,S,x,UNK,UNK
②,O,S,x,UNK,UNK
辨,O,S,v,辛,biàn
病,O,B,n,疒,bìng
因,O,E,n,囗,yīn
:,O,S,x,UNK,UNK
饮,O,B,n,饣,yǐn
食,O,E,n,飠,shí
所,O,S,c,户,suǒ
伤,O,S,v,亻,shāng
，,O,S,x,UNK,UNK
seg,seg,seg,seg,seg,seg
有,O,B,v,月,yǒu
伤,O,E,v,亻,shāng
肉,O,S,n,肉,ròu
、,O,S,x,UNK,UNK
伤,O,B,n,亻,shāng
面,O,E,n,面,miàn
、,O,S,x,UNK,UNK
伤,O,B,n,亻,shāng
酒,S-FY,E,n,酉,jiǔ
