word,label,bound,flag,radical,pinyin
养,B-ZF,B,v,丷,yǎng
血,E-ZF,E,v,血,xiě
舒,O,S,nr,舌,shū
肝,O,S,n,月,gān
，,O,S,x,UNK,UNK
调,O,B,v,讠,tiáo
经,O,E,v,纟,jīng
止,B-ZF,B,v,止,zhǐ
痛,E-ZF,E,v,疒,tòng
。,O,S,x,UNK,UNK
用,O,B,v,用,yòng
于,O,E,v,二,yú
血,O,B,n,血,xiě
虚,O,E,n,虍,xū
肝,O,B,n,月,gān
郁,O,E,n,阝,yù
所,O,B,c,户,suǒ
致,O,E,c,至,zhì
月,B-ZZ,B,n,月,yuè
经,I-ZZ,M,n,纟,jīng
不,I-ZZ,M,n,一,bù
调,E-ZZ,E,n,讠,tiáo
、,O,S,x,UNK,UNK
痛,O,B,d,疒,tòng
经,O,E,d,纟,jīng
、,O,S,x,UNK,UNK
月,O,B,n,月,yuè
经,O,E,n,纟,jīng
前,O,B,f,刂,qián
后,O,E,f,口,hòu
诸,O,S,r,讠,zhū
证,O,S,n,讠,zhèng
，,O,S,x,UNK,UNK
症,O,B,n,疒,zhèng
见,O,E,n,见,jiàn
行,O,B,n,行,háng
经,O,E,n,纟,jīng
后,O,S,f,口,hòu
错,O,S,v,钅,cuò
，,O,S,x,UNK,UNK
经,B-ZZ,S,n,纟,jīng
水,I-ZZ,B,n,水,shuǐ
量,I-ZZ,E,n,里,liáng
少,E-ZZ,S,a,小,shǎo
、,O,S,x,UNK,UNK
有,B-ZZ,S,v,月,yǒu
血,I-ZZ,B,n,血,xiě
块,E-ZZ,E,n,土,kuài
，,O,S,x,UNK,UNK
seg,seg,seg,seg,seg,seg
行,O,B,n,行,háng
经,O,E,n,纟,jīng
小,B-ZZ,B,n,小,xiǎo
腹,I-ZZ,E,n,月,fù
疼,I-ZZ,B,n,疒,téng
痛,E-ZZ,E,n,疒,tòng
，,O,S,x,UNK,UNK
血,O,B,n,血,xiě
块,O,E,n,土,kuài
排,O,B,v,扌,pái
出,O,E,v,凵,chū
痛,O,S,a,疒,tòng
减,O,S,v,冫,jiǎn
，,O,S,x,UNK,UNK
经,O,S,p,纟,jīng
前,O,S,f,刂,qián
双,O,B,nz,又,shuāng
乳,O,E,nz,乚,rǔ
胀,O,B,v,月,zhàng
痛,O,E,v,疒,tòng
、,O,S,x,UNK,UNK
烦,B-ZZ,B,a,火,fán
躁,E-ZZ,E,a,足,zào
，,O,S,x,UNK,UNK
食,B-ZZ,B,l,飠,shí
欲,I-ZZ,M,l,欠,yù
不,I-ZZ,M,l,一,bù
振,E-ZZ,E,l,扌,zhèn
 ,O,S,x,UNK,UNK
孕,O,B,n,子,yùn
妇,O,E,n,女,fù
忌,O,B,v,心,jì
