,entity_class,start_pos,end_pos,content
0,ZZ,62,68,伴有恶寒发热
1,FJ,233,238,藿香正气散
2,SX,37,41,舌苔白腻
3,SX,174,178,舌苔浊腻
4,ZZ,20,24,可伴发热
5,ZZ,164,168,胸闷呕恶
6,ZZ,134,138,烦躁不安
7,ZZ,144,148,便秘尿赤
8,ZZ,32,36,胸脘满闷
9,ZZ,64,68,恶寒发热
10,FY,295,298,大腹皮
11,FJ,235,238,正气散
12,ZH,6,9,外邪犯
13,ZH,190,193,外邪犯
14,MX,42,45,脉濡缓
15,MX,149,152,脉洪数
16,SX,38,41,苔白腻
17,ZZ,63,66,有恶寒
18,FY,302,304,甘草
19,FY,252,254,陈皮
20,FY,246,248,白芷
21,FY,277,279,厚朴
22,FY,308,310,生姜
23,FY,283,285,半夏
24,FY,265,267,桔梗
25,FY,295,297,大腹
26,FY,314,316,大枣
27,FY,289,291,茯苓
28,FY,233,235,藿香
29,FY,239,241,藿香
30,FY,271,273,白术
31,FY,296,298,腹皮
32,FY,258,260,紫苏
33,ZH,115,117,风寒
34,MX,42,44,脉濡
35,SX,38,40,苔白
36,ZZ,25,27,恶寒
37,ZZ,64,66,恶寒
38,ZZ,164,166,胸闷
39,ZZ,0,2,呕吐
40,ZZ,17,19,呕吐
41,ZZ,90,92,呕吐
42,ZZ,126,128,呕吐
43,ZZ,169,171,呕吐
44,ZZ,215,217,呕吐
45,ZZ,139,141,口干
46,ZZ,146,148,尿赤
47,ZZ,144,146,便秘
48,ZZ,134,136,烦躁
49,ZZ,22,24,发热
50,ZZ,66,68,发热
51,ZZ,29,31,身痛
52,ZZ,70,72,身痛
53,ZZ,131,133,口渴
54,ZZ,166,168,呕恶
55,FY,315,316,枣
56,FY,309,310,姜
57,ZH,106,107,暑
58,ZH,30,31,痛
59,ZH,71,72,痛
60,ZH,115,116,风
61,ZH,23,24,热
62,ZH,67,68,热
63,ZH,130,131,热
64,ZH,157,158,热
65,ZH,109,110,干
66,ZH,140,141,干
