,entity_class,start_pos,end_pos,content
0,FJ,310,315,补中益气汤
1,ZH,4,8,脾肺气虚
2,ZF,310,314,补中益气
3,ZZ,126,130,气短乏力
4,ZZ,69,73,面色苍白
5,ZZ,58,62,易于感冒
6,ZZ,74,78,脘闷纳呆
7,ZZ,53,57,倦怠乏力
8,ZZ,79,83,大便溏薄
9,FY,364,367,炙甘草
10,FY,371,374,石菖蒲
11,FJ,312,315,益气汤
12,ZH,163,166,脾气虚
13,ZH,260,263,脾气虚
14,ZH,4,7,脾肺气
15,MX,92,95,脉虚弱
16,SX,84,87,舌质淡
17,SX,88,91,苔薄白
18,ZZ,79,82,大便溏
19,FY,365,367,甘草
20,FY,358,360,陈皮
21,FY,372,374,菖蒲
22,FY,325,327,党参
23,FY,379,381,诃子
24,FY,318,320,黄芪
25,FY,339,341,柴胡
26,FY,268,270,生金
27,FY,332,334,白术
28,FY,345,347,升麻
29,FY,351,353,当归
30,FJ,60,62,感冒
31,SX,88,90,苔薄
32,ZZ,50,52,气短
33,ZZ,126,128,气短
34,ZZ,80,82,便溏
35,ZZ,55,57,乏力
36,ZZ,128,130,乏力
37,ZZ,13,15,声嘶
38,ZZ,104,106,声嘶
39,ZZ,53,55,倦怠
40,ZZ,63,65,痰粘
41,ZZ,76,78,纳呆
42,ZZ,71,73,苍白
43,ZZ,48,50,咳嗽
44,ZZ,66,68,量少
45,FY,346,347,麻
46,FY,170,171,酒
47,ZH,7,8,虚
48,ZH,93,94,虚
49,ZH,138,139,虚
50,ZH,147,148,虚
51,ZH,165,166,虚
52,ZH,234,235,虚
53,ZH,262,263,虚
