,entity_class,start_pos,end_pos,content
0,FJ,331,336,木香顺气散
1,ZH,10,14,肝郁气滞
2,ZF,325,329,疏肝理气
3,FY,340,343,广木香
4,FY,387,390,蒲公英
5,FY,349,352,大腹皮
6,FY,356,359,玫瑰花
7,FJ,624,627,逍遥丸
8,FJ,333,336,顺气散
9,ZH,195,198,脾胃气
10,ZH,197,200,气机郁
11,ZH,10,13,肝郁气
12,ZH,223,226,虚实夹
13,SX,475,478,苔薄黄
14,FY,366,368,陈皮
15,FY,405,407,陈皮
16,FY,381,383,川朴
17,FY,353,355,香附
18,FY,346,348,枳壳
19,FY,349,351,大腹
20,FY,331,333,木香
21,FY,341,343,木香
22,FY,350,352,腹皮
23,FY,382,384,朴花
24,FY,372,374,砂仁
25,ZH,12,14,气滞
26,ZH,585,587,气滞
27,MX,479,481,脉弦
28,SX,468,470,舌红
29,SX,475,477,苔薄
30,ZZ,124,126,腹胀
31,ZZ,141,143,腹胀
32,ZZ,444,446,腹胀
33,ZZ,504,506,压痛
34,ZZ,468,470,舌红
35,ZZ,22,24,腹痛
36,ZZ,127,129,腹痛
37,ZZ,144,146,腹痛
38,ZZ,582,584,腹痛
39,ZZ,463,465,纳少
40,ZH,23,24,痛
41,ZH,128,129,痛
42,ZH,145,146,痛
43,ZH,439,440,痛
44,ZH,505,506,痛
45,ZH,510,511,痛
46,ZH,583,584,痛
47,ZH,223,224,虚
