,entity_class,start_pos,end_pos,content
0,MX,48,53,脉细数无力
1,ZH,3,7,气血亏虚
2,ZF,119,123,补益气血
3,ZZ,37,41,神疲乏力
4,FY,147,150,金银花
5,FJ,129,132,四妙汤
6,ZH,3,6,气血亏
7,MX,48,51,脉细数
8,FY,155,157,甘草
9,FY,147,149,金银
10,FY,148,150,银花
11,FY,133,135,黄芪
12,FY,140,142,当归
13,ZH,3,5,气血
14,ZH,89,91,气血
15,ZH,121,123,气血
16,MX,48,50,脉细
17,SX,42,44,舌红
18,SX,75,77,舌红
19,SX,45,47,少苔
20,ZZ,39,41,乏力
21,ZZ,37,39,神疲
22,ZZ,42,44,舌红
23,ZZ,75,77,舌红
24,ZZ,30,32,肿痛
25,ZZ,67,69,肿痛
26,ZZ,72,74,神倦
27,ZH,31,32,痛
28,ZH,68,69,痛
29,ZH,25,26,热
30,ZH,64,65,热
31,ZH,6,7,虚
