,entity_class,start_pos,end_pos,content
0,FJ,201,206,调胃承气汤
1,FJ,145,149,大柴胡汤
2,FJ,177,181,大柴胡汤
3,ZH,136,140,气滞血瘀
4,ZH,111,115,大便秘结
5,ZH,356,360,大便秘结
6,ZH,131,135,湿热壅滞
7,ZF,188,192,和解少阳
8,ZF,131,135,湿热壅滞
9,ZF,218,222,清热解毒
10,ZF,232,236,芳香化湿
11,SX,124,128,苔黄厚腻
12,SX,432,436,苔黄厚腻
13,ZZ,27,31,伴有发热
14,ZZ,93,97,伴有发热
15,ZZ,32,36,恶心呕吐
16,ZZ,98,102,恶心呕吐
17,ZZ,343,347,脘腹胀痛
18,ZZ,111,115,大便秘结
19,ZZ,356,360,大便秘结
20,FY,272,275,玄明粉
21,FY,542,545,玄明粉
22,FY,291,294,蒲公英
23,FY,674,677,蒲公英
24,FY,196,199,元明粉
25,FY,668,671,苏罗子
26,FY,266,269,生川军
27,FY,538,541,生川军
28,FY,260,263,炒黄芩
29,FY,305,308,败酱草
30,FY,688,691,谷麦芽
31,FY,298,301,地丁草
32,FY,681,684,地丁草
33,FJ,146,149,柴胡汤
34,FJ,178,181,柴胡汤
35,ZH,136,139,气滞血
36,ZH,210,213,胃肠积
37,ZH,131,134,湿热壅
38,MX,518,521,脉沉细
39,SX,522,525,苔黄腻
40,SX,610,613,苔薄腻
41,FY,647,649,陈皮
42,FY,550,552,银花
43,FY,193,195,大黄
44,FY,299,301,丁草
45,FY,682,684,丁草
46,FY,689,691,麦芽
47,FY,267,269,川军
48,FY,539,541,川军
49,FY,631,633,藿梗
50,FY,167,169,黄芩
51,FY,261,263,黄芩
52,FY,663,665,香附
53,FY,652,654,泽泻
54,FY,642,644,半夏
55,FY,298,300,地丁
56,FY,681,683,地丁
57,FY,47,49,淀粉
58,FY,305,307,败酱
59,FY,173,175,木香
60,FY,284,286,木香
61,FY,546,548,木香
62,FY,146,148,柴胡
63,FY,164,166,柴胡
64,FY,178,180,柴胡
65,FY,255,257,柴胡
66,FY,555,557,柴胡
67,FY,563,565,赤芍
68,FY,170,172,枳实
69,FY,279,281,枳实
70,FY,312,314,连翘
71,FY,658,660,丹参
72,ZH,136,138,气滞
73,ZF,152,154,清热
74,ZF,218,220,清热
75,ZF,242,244,清热
76,ZF,250,252,清热
77,ZF,624,626,清热
78,ZF,159,161,活血
79,ZF,223,225,活血
80,ZF,183,185,行气
81,MX,121,123,脉细
82,MX,429,431,脉细
83,MX,607,609,脉细
84,SX,124,126,苔黄
85,SX,432,434,苔黄
86,SX,522,524,苔黄
87,SX,610,612,苔薄
88,ZZ,500,502,胸闷
89,ZZ,34,36,呕吐
90,ZZ,100,102,呕吐
91,ZZ,344,346,腹胀
92,ZZ,478,480,身热
93,ZZ,578,580,身热
94,ZZ,32,34,恶心
95,ZZ,98,100,恶心
96,ZZ,118,120,麻木
97,ZZ,363,365,麻木
98,ZZ,495,497,腹痛
99,ZZ,112,114,便秘
100,ZZ,357,359,便秘
101,ZZ,29,31,发热
102,ZZ,95,97,发热
103,ZZ,332,334,发热
104,ZZ,24,26,疼痛
105,ZZ,90,92,疼痛
106,FY,689,690,麦
107,FY,107,108,米
108,FY,352,353,米
109,FY,168,169,芩
110,FY,262,263,芩
111,FY,118,119,麻
112,FY,363,364,麻
113,ZH,25,26,痛
114,ZH,91,92,痛
115,ZH,346,347,痛
116,ZH,496,497,痛
117,ZH,191,192,阳
118,ZH,30,31,热
119,ZH,96,97,热
120,ZH,132,133,热
121,ZH,153,154,热
122,ZH,219,220,热
123,ZH,243,244,热
124,ZH,251,252,热
125,ZH,333,334,热
126,ZH,479,480,热
127,ZH,579,580,热
128,ZH,625,626,热
129,ZH,139,140,瘀
