,entity_class,start_pos,end_pos,content
0,ZH,165,169,大便秘结
1,ZH,187,191,脾胃虚弱
2,ZZ,28,32,气短乏力
3,ZZ,98,102,下肢浮肿
4,ZZ,38,42,头晕心悸
5,ZZ,170,174,多食易饥
6,ZZ,165,169,大便秘结
7,FY,252,255,薏苡仁
8,FY,244,247,草决明
9,FY,267,270,生白术
10,ZH,144,147,脾气亏
11,ZH,187,190,脾胃虚
12,ZH,4,7,脾虚痰
13,ZH,154,157,水湿内
14,FY,275,277,陈皮
15,FY,260,262,防已
16,FY,230,232,泽泻
17,FY,252,254,薏苡
18,FY,237,239,茯苓
19,FY,245,247,决明
20,FY,223,225,荷叶
21,FY,282,284,黄芪
22,FY,268,270,白术
23,FY,253,255,苡仁
24,FY,124,126,醇酒
25,MX,64,66,脉细
26,SX,58,60,苔白
27,ZZ,28,30,气短
28,ZZ,103,105,气短
29,ZZ,23,25,胸闷
30,ZZ,30,32,乏力
31,ZZ,43,45,腹胀
32,ZZ,35,37,倦怠
33,ZZ,95,97,倦怠
34,ZZ,38,40,头晕
35,ZZ,40,42,心悸
36,ZZ,166,168,便秘
37,FY,125,126,酒
38,ZH,181,182,热
39,ZH,161,162,瘀
40,ZH,204,205,瘀
41,ZH,217,218,瘀
42,ZH,5,6,虚
43,ZH,147,148,虚
44,ZH,189,190,虚
