,entity_class,start_pos,end_pos,content
0,ZH,57,61,大便秘结
1,ZH,165,169,大便秘结
2,ZF,210,214,清热利湿
3,ZF,215,219,疏风散邪
4,SX,62,66,舌红苔黄
5,SX,170,174,舌红苔黄
6,ZZ,138,142,口干少津
7,ZZ,92,96,局部红肿
8,ZZ,57,61,大便秘结
9,ZZ,165,169,大便秘结
10,FJ,215,218,疏风散
11,MX,68,71,脉滑数
12,SX,64,67,苔黄腻
13,FY,322,324,甘草
14,FY,247,249,麻黄
15,FY,267,269,黄芩
16,FY,241,243,薄荷
17,FY,316,318,桔梗
18,FY,288,290,滑石
19,FY,309,311,白芍
20,FY,235,237,防风
21,FY,281,283,茵陈
22,FY,260,262,栀子
23,FY,295,297,川芎
24,FY,228,230,荆芥
25,FY,274,276,石膏
26,FY,253,255,连翘
27,FY,302,304,当归
28,FJ,216,218,风散
29,ZF,210,212,清热
30,MX,68,70,脉滑
31,SX,62,64,舌红
32,SX,170,172,舌红
33,SX,64,66,苔黄
34,SX,172,174,苔黄
35,SX,140,142,少津
36,ZZ,31,33,痒痛
37,ZZ,96,98,痒痛
38,ZZ,26,28,灼热
39,ZZ,89,91,灼热
40,ZZ,157,159,肿胀
41,ZZ,62,64,舌红
42,ZZ,170,172,舌红
43,ZZ,119,121,干燥
44,ZZ,138,140,口干
45,ZZ,58,60,便秘
46,ZZ,166,168,便秘
47,ZZ,48,50,口臭
48,ZZ,99,101,口臭
49,ZZ,162,164,口臭
50,ZZ,51,53,口渴
51,ZZ,101,103,口渴
52,ZZ,160,162,口渴
53,FY,296,297,芎
54,FY,268,269,芩
55,FY,247,248,麻
56,ZH,32,33,痛
57,ZH,97,98,痛
58,ZH,127,128,痛
59,ZH,1,2,风
60,ZH,5,6,风
61,ZH,190,191,风
62,ZH,206,207,风
63,ZH,216,217,风
64,ZH,236,237,风
65,ZH,112,113,阴
66,ZH,54,55,冷
67,ZH,18,19,热
68,ZH,27,28,热
69,ZH,90,91,热
70,ZH,186,187,热
71,ZH,211,212,热
72,ZH,119,120,干
73,ZH,139,140,干
