,entity_class,start_pos,end_pos,content
0,ZH,209,213,中气不足
1,ZH,307,311,大便秘结
2,ZH,432,436,脾胃虚弱
3,ZH,427,431,元气不足
4,ZZ,108,112,烦躁不安
5,ZZ,36,40,大便干结
6,ZZ,372,376,大便干结
7,ZZ,98,102,食欲不振
8,ZZ,307,311,大便秘结
9,FY,267,270,决明子
10,FY,183,186,莱菔子
11,FY,274,277,何首乌
12,FY,241,244,肉苁蓉
13,FY,531,534,肉苁蓉
14,FY,176,179,瓜蒌仁
15,FY,638,641,酒大黄
16,FY,539,542,生白术
17,FY,514,517,川牛膝
18,FY,54,57,番泻叶
19,FY,390,393,番泻叶
20,FY,500,503,生黄芪
21,FJ,494,497,济川煎
22,FJ,50,53,润肠丸
23,FJ,382,385,润肠丸
24,ZH,432,435,脾胃虚
25,MX,580,583,脉细弦
26,SX,570,573,舌淡红
27,SX,682,685,舌淡红
28,SX,574,577,苔薄白
29,SX,686,689,苔薄白
30,ZZ,36,39,大便干
31,ZZ,372,375,大便干
32,FY,518,520,菊花
33,FY,639,641,大黄
34,FY,694,696,大黄
35,FY,515,517,牛膝
36,FY,221,223,厚朴
37,FY,177,179,蒌仁
38,FY,187,189,苏子
39,FY,264,266,元参
40,FY,543,545,元参
41,FY,241,243,肉苁
42,FY,531,533,肉苁
43,FY,261,263,白芍
44,FY,227,229,槟榔
45,FY,267,269,决明
46,FY,511,513,瓜萎
47,FY,501,503,黄芪
48,FY,176,178,瓜蒌
49,FY,242,244,苁蓉
50,FY,532,534,苁蓉
51,FY,271,273,桃仁
52,FY,507,509,桃仁
53,FY,235,237,白术
54,FY,540,542,白术
55,FY,275,277,首乌
56,FY,180,182,杏仁
57,FY,528,530,杏仁
58,FY,48,50,麻仁
59,FY,380,382,麻仁
60,FY,224,226,枳实
61,FY,521,523,枳实
62,FY,238,240,当归
63,FY,504,506,当归
64,FJ,58,60,通便
65,FJ,285,287,通便
66,FJ,386,388,通便
67,ZF,280,282,活血
68,MX,580,582,脉细
69,MX,690,692,脉细
70,SX,570,572,舌淡
71,SX,682,684,舌淡
72,SX,574,576,苔薄
73,SX,686,688,苔薄
74,ZZ,93,95,腹胀
75,ZZ,202,204,腹胀
76,ZZ,312,314,腹胀
77,ZZ,420,422,腹胀
78,ZZ,625,627,腹胀
79,ZZ,657,659,腹胀
80,ZZ,105,107,头痛
81,ZZ,325,327,头痛
82,ZZ,664,666,头痛
83,ZZ,37,39,便干
84,ZZ,373,375,便干
85,ZZ,95,97,腹痛
86,ZZ,314,316,腹痛
87,ZZ,659,661,腹痛
88,ZZ,317,319,心烦
89,ZZ,3,5,便秘
90,ZZ,9,11,便秘
91,ZZ,33,35,便秘
92,ZZ,124,126,便秘
93,ZZ,146,148,便秘
94,ZZ,308,310,便秘
95,ZZ,565,567,便秘
96,ZZ,620,622,便秘
97,ZZ,737,739,便秘
98,ZZ,108,110,烦躁
99,ZZ,204,206,纳差
100,FY,48,49,麻
101,FY,380,381,麻
102,FY,638,639,酒
103,ZH,96,97,痛
104,ZH,106,107,痛
105,ZH,315,316,痛
106,ZH,326,327,痛
107,ZH,660,661,痛
108,ZH,665,666,痛
109,ZH,131,132,阴
110,ZH,279,280,阴
111,ZH,17,18,虚
112,ZH,344,345,虚
113,ZH,434,435,虚
114,ZH,38,39,干
115,ZH,368,369,干
116,ZH,374,375,干
117,ZH,396,397,干
118,ZH,578,579,干
119,ZH,595,596,干
