,entity_class,start_pos,end_pos,content
0,FJ,265,270,会厌逐瘀汤
1,ZH,169,174,脾肺气虚证
2,ZH,204,208,阻滞气机
3,ZH,169,173,脾肺气虚
4,ZF,255,259,活血化瘀
5,SX,84,88,舌质暗红
6,FY,343,346,浙贝母
7,FY,351,354,生牡蛎
8,FJ,271,274,二陈汤
9,FJ,267,270,逐瘀汤
10,ZH,169,172,脾肺气
11,ZH,4,7,痰瘀互
12,MX,96,99,脉弦滑
13,FY,359,361,甘草
14,FY,322,324,陈皮
15,FY,343,345,浙贝
16,FY,41,43,咽干
17,FY,291,293,生地
18,FY,329,331,半夏
19,FY,316,318,桔梗
20,FY,336,338,茯苓
21,FY,310,312,柴胡
22,FY,277,279,桃仁
23,FY,284,286,红花
24,FY,352,354,牡蛎
25,FY,304,306,赤芍
26,FY,298,300,当归
27,FY,344,346,贝母
28,ZF,255,257,活血
29,MX,96,98,脉弦
30,ZZ,41,43,咽干
31,ZH,34,35,痛
32,ZH,36,37,痛
33,ZH,246,247,痛
34,ZH,248,249,痛
35,ZH,5,6,瘀
36,ZH,91,92,瘀
37,ZH,93,94,瘀
38,ZH,189,190,瘀
39,ZH,234,235,瘀
40,ZH,258,259,瘀
41,ZH,268,269,瘀
42,ZH,135,136,虚
43,ZH,172,173,虚
44,ZH,178,179,虚
45,ZH,42,43,干
