,entity_class,start_pos,end_pos,content
0,FJ,132,137,膈下逐瘀汤
1,FY,173,176,五灵脂
2,FJ,134,137,逐瘀汤
3,ZH,100,103,气血凝
4,MX,55,58,脉细涩
5,FY,216,218,甘草
6,FY,174,176,灵脂
7,FY,195,197,香附
8,FY,209,211,枳壳
9,FY,188,190,玄胡
10,FY,152,154,桃仁
11,FY,202,204,乌药
12,FY,145,147,川芎
13,FY,159,161,红花
14,FY,181,183,丹皮
15,FY,166,168,赤芍
16,FY,138,140,当归
17,ZH,100,102,气血
18,MX,55,57,脉细
19,ZZ,29,31,乏力
20,ZZ,80,82,乏力
21,ZZ,27,29,消瘦
22,ZZ,78,80,消瘦
23,ZZ,32,34,纳差
24,ZZ,83,85,纳差
25,FY,146,147,芎
26,ZH,23,24,痛
27,ZH,74,75,痛
28,ZH,38,39,热
29,ZH,9,10,瘀
30,ZH,52,53,瘀
31,ZH,111,112,瘀
32,ZH,123,124,瘀
33,ZH,135,136,瘀
