,entity_class,start_pos,end_pos,content
0,MX,57,62,脉沉细无力
1,ZH,92,96,中焦虚寒
2,ZH,3,7,脾胃虚寒
3,ZH,168,172,脾胃虚弱
4,ZZ,24,28,脘腹隐痛
5,ZZ,39,43,食欲减退
6,ZZ,12,16,大便下血
7,FY,266,269,干地黄
8,FY,258,261,伏龙肝
9,FJ,254,257,黄土汤
10,ZH,3,6,脾胃虚
11,ZH,168,171,脾胃虚
12,MX,57,60,脉沉细
13,MX,86,89,脉沉细
14,SX,49,52,舌质淡
15,SX,53,56,苔薄白
16,ZZ,44,47,大便溏
17,FY,267,269,地黄
18,FY,279,281,附子
19,FY,291,293,黄芩
20,FY,285,287,阿胶
21,FY,254,256,黄土
22,FY,273,275,白术
23,SX,53,55,苔薄
24,ZZ,45,47,便溏
25,ZZ,83,85,便溏
26,ZZ,36,38,肢冷
27,ZZ,80,82,肢冷
28,ZZ,0,2,便血
29,ZZ,186,188,便血
30,ZZ,226,228,便血
31,ZZ,31,33,喜按
32,ZZ,130,132,出血
33,FY,292,293,芩
34,ZH,27,28,痛
35,ZH,195,196,阳
36,ZH,198,199,阳
37,ZH,202,203,阳
38,ZH,215,216,阳
39,ZH,201,202,阴
40,ZH,217,218,阴
41,ZH,250,251,阴
42,ZH,37,38,冷
43,ZH,81,82,冷
44,ZH,5,6,虚
45,ZH,94,95,虚
46,ZH,155,156,虚
47,ZH,170,171,虚
48,ZH,216,217,虚
49,ZH,232,233,虚
50,ZH,266,267,干
