,entity_class,start_pos,end_pos,content
0,SX,44,48,舌苔厚腻
1,FY,189,192,炒山楂
2,FY,218,221,莱菔子
3,FJ,183,186,保和丸
4,SX,45,48,苔厚腻
5,FY,211,213,陈皮
6,FY,240,242,川朴
7,FY,197,199,半夏
8,FY,233,235,神曲
9,FY,204,206,茯苓
10,FY,190,192,山楂
11,FY,226,228,连翘
12,ZZ,0,2,腹痛
13,ZZ,63,65,腹痛
14,ZZ,118,120,腹痛
15,ZZ,16,18,拒按
16,ZZ,67,69,拒按
17,ZZ,36,38,厌食
18,ZZ,70,72,厌食
19,ZZ,141,143,疼痛
20,ZZ,41,43,呕恶
21,ZZ,72,74,呕恶
22,ZH,1,2,痛
23,ZH,15,16,痛
24,ZH,24,25,痛
25,ZH,31,32,痛
26,ZH,64,65,痛
27,ZH,77,78,痛
28,ZH,82,83,痛
29,ZH,98,99,痛
30,ZH,103,104,痛
31,ZH,119,120,痛
32,ZH,142,143,痛
