FY,554,557
FY,779,782
FJ,538,541
FJ,522,525
FJ,730,733
ZH,371,374
FY,787,789
FY,566,568
FY,754,756
FY,1140,1142
FY,773,775
FY,1121,1123
FY,747,749
FY,1113,1115
FY,1139,1141
FY,554,556
FY,779,781
FY,766,768
FY,1117,1119
FY,1148,1150
FY,543,545
FY,790,792
FY,555,557
FY,780,782
FY,617,619
FY,988,990
FY,1132,1134
FJ,545,547
ZH,479,481
ZH,389,391
MX,502,504
MX,918,920
SX,495,497
SX,911,913
SX,1029,1031
SX,1082,1084
SX,1086,1088
ZZ,459,461
ZZ,461,463
ZZ,959,961
ZZ,1052,1054
FY,634,635
FY,767,768
FY,1118,1119
ZH,46,47
ZH,140,141
ZH,408,409
ZH,660,661
ZH,960,961
ZH,1003,1004
ZH,1053,1054
ZH,304,305
ZH,326,327
ZH,329,330
ZH,548,549
ZH,1080,1081
