word,label,bound,flag,radical,pinyin
口,O,B,n,口,kǒu
疮,O,E,n,疒,chuāng
。,O,S,x,UNK,UNK
口,O,S,q,口,kǒu
破,O,S,v,石,pò
、,O,S,x,UNK,UNK
口,O,B,n,口,kǒu
疡,O,E,n,疒,yáng
、,O,S,x,UNK,UNK
口,O,B,n,口,kǒu
疳,S-ZH,E,n,疒,gān
。,O,S,x,UNK,UNK
肺,O,B,n,月,fèi
胃,O,E,n,月,wèi
蕴,O,B,v,艹,yùn
热,S-ZH,E,v,灬,rè
。,O,S,x,UNK,UNK
临,O,B,i,丨,lín
床,O,M,i,广,chuáng
表,O,M,i,衣,biǎo
现,O,E,i,见,xiàn
起,O,B,v,走,qǐ
病,O,E,v,疒,bìng
急,O,S,v,心,jí
，,O,S,x,UNK,UNK
口,O,B,n,口,kǒu
疮,O,E,n,疒,chuāng
数,O,B,n,攵,shù
量,O,E,n,里,liáng
多,O,S,m,夕,duō
，,O,S,x,UNK,UNK
大,O,B,l,大,dà
小,O,M,l,小,xiǎo
不,O,M,l,一,bù
等,O,E,l,竹,děng
，,O,S,x,UNK,UNK
表,O,B,n,衣,biǎo
面,O,E,n,面,miàn
多,O,S,m,夕,duō
黄,O,B,n,黄,huáng
白,O,M,n,白,bái
色,O,E,n,色,sè
分,O,B,n,刀,fēn
泌,O,M,n,氵,mì
物,O,E,n,牜,wù
，,O,S,x,UNK,UNK
seg,seg,seg,seg,seg,seg
疮,O,S,n,疒,chuāng
周,O,S,nr,口,zhōu
红,O,B,n,纟,hóng
肿,O,E,n,月,zhǒng
或,O,S,c,戈,huò
有,O,S,v,月,yǒu
水,O,B,n,水,shuǐ
疱,O,E,n,疒,pào
，,O,S,x,UNK,UNK
常,O,S,d,巾,cháng
伴,B-ZZ,B,v,亻,bàn
有,I-ZZ,E,v,月,yǒu
发,I-ZZ,B,v,又,fā
热,E-ZZ,E,v,灬,rè
头,B-ZZ,B,n,大,tóu
痛,E-ZZ,E,n,疒,tòng
，,O,S,x,UNK,UNK
咽,B-ZZ,B,n,口,yān
喉,I-ZZ,E,n,口,hóu
肿,I-ZZ,B,n,月,zhǒng
痛,E-ZZ,E,n,疒,tòng
，,O,S,x,UNK,UNK
咳,B-ZZ,B,v,口,ké
嗽,E-ZZ,E,v,口,sòu
口,B-ZZ,B,n,口,kǒu
渴,E-ZZ,E,n,氵,kě
，,O,S,x,UNK,UNK
便,B-ZZ,B,a,亻,biàn
秘,I-ZZ,E,a,禾,mì
尿,I-ZZ,S,n,尸,niào
黄,E-ZZ,S,nr,黄,huáng
，,O,S,x,UNK,UNK
舌,B-SX,S,n,舌,shé
红,I-SX,B,nr,纟,hóng
苔,I-SX,M,nr,艹,tái
黄,E-SX,E,nr,黄,huáng
，,O,S,x,UNK,UNK
脉,B-MX,S,ng,月,mài
洪,I-MX,B,n,氵,hóng
数,E-MX,E,n,攵,shù
。,O,S,x,UNK,UNK
seg,seg,seg,seg,seg,seg
辨,O,B,v,辛,biàn
证,O,E,v,讠,zhèng
提,O,B,v,扌,tí
要,O,E,v,覀,yào
①,O,S,x,UNK,UNK
辨,O,B,v,辛,biàn
证,O,E,v,讠,zhèng
要,O,B,n,覀,yào
点,O,E,n,灬,diǎn
:,O,S,x,UNK,UNK
起,O,B,v,走,qǐ
病,O,E,v,疒,bìng
急,O,S,v,心,jí
，,O,S,x,UNK,UNK
口,O,B,n,口,kǒu
疮,O,E,n,疒,chuāng
数,O,B,n,攵,shù
量,O,E,n,里,liáng
多,O,S,m,夕,duō
，,O,S,x,UNK,UNK
表,O,B,n,衣,biǎo
面,O,E,n,面,miàn
分,O,B,n,刀,fēn
泌,O,M,n,氵,mì
物,O,E,n,牜,wù
多,O,B,b,夕,duō
色,O,E,b,色,sè
黄,O,S,n,黄,huáng
，,O,S,x,UNK,UNK
疮,O,S,n,疒,chuāng
周,O,S,nr,口,zhōu
红,O,B,n,纟,hóng
肿,O,E,n,月,zhǒng
，,O,S,x,UNK,UNK
咽,B-ZZ,B,n,口,yān
喉,I-ZZ,E,n,口,hóu
肿,I-ZZ,B,n,月,zhǒng
痛,E-ZZ,E,n,疒,tòng
，,O,S,x,UNK,UNK
咳,B-ZZ,B,v,口,ké
嗽,E-ZZ,E,v,口,sòu
.,O,S,x,UNK,UNK
seg,seg,seg,seg,seg,seg
②,O,S,x,UNK,UNK
辨,O,S,vg,辛,biàn
偏,O,B,v,亻,piān
于,O,E,v,二,yú
脾,O,B,n,月,pí
胃,O,E,n,月,wèi
伏,O,B,nr,亻,fú
火,O,E,nr,火,huǒ
口,O,B,n,口,kǒu
疮,O,E,n,疒,chuāng
:,O,S,x,UNK,UNK
每,O,B,p,母,měi
于,O,E,p,二,yú
过,O,B,n,辶,guò
食,O,E,n,飠,shí
煎,O,B,v,灬,jiān
炒,O,E,v,火,chǎo
辛,O,B,z,辛,xīn
辣,O,E,z,辛,là
而,O,S,c,而,ér
发,O,S,v,又,fā
，,O,S,x,UNK,UNK
口,O,B,n,口,kǒu
疮,O,E,n,疒,chuāng
多,O,S,m,夕,duō
生,O,B,v,生,shēng
于,O,E,v,二,yú
口,O,B,n,口,kǒu
唇,O,E,n,口,chún
口,O,B,n,口,kǒu
颊,O,E,n,页,jiá
部,O,S,n,阝,bù
，,O,S,x,UNK,UNK
兼,O,B,v,丷,jiān
有,O,E,v,月,yǒu
口,B-ZZ,B,n,口,kǒu
臭,E-ZZ,E,n,自,chòu
，,O,S,x,UNK,UNK
便,B-ZZ,B,a,亻,biàn
秘,E-ZZ,E,a,禾,mì
，,O,S,x,UNK,UNK
口,O,S,q,口,kǒu
燥,O,S,ag,火,zào
唇,O,S,ng,口,chún
赤,O,S,vg,赤,chì
，,O,S,x,UNK,UNK
seg,seg,seg,seg,seg,seg
舌,B-SX,S,n,舌,shé
红,I-SX,B,nr,纟,hóng
苔,I-SX,M,nr,艹,tái
黄,E-SX,E,nr,黄,huáng
厚,O,S,a,厂,hòu
，,O,S,x,UNK,UNK
脉,B-MX,B,n,月,mài
滑,I-MX,M,n,氵,huá
数,E-MX,E,n,攵,shù
或,O,S,c,戈,huò
弦,O,B,n,弓,xián
数,O,E,n,攵,shù
。,O,S,x,UNK,UNK
③,O,S,x,UNK,UNK
辨,O,S,vg,辛,biàn
偏,O,S,d,亻,piān
于,O,S,p,二,yú
肝,B-ZH,B,n,月,gān
经,I-ZH,E,n,纟,jīng
郁,E-ZH,B,a,阝,yù
热,S-ZH,E,a,灬,rè
口,O,B,n,口,kǒu
疮,O,E,n,疒,chuāng
:,O,S,x,UNK,UNK
女,O,B,n,女,nǚ
性,O,E,n,忄,xìng
多,O,S,m,夕,duō
见,O,S,v,见,jiàn
，,O,S,x,UNK,UNK
口,O,B,n,口,kǒu
疮,O,E,n,疒,chuāng
数,O,B,n,攵,shù
目,O,E,n,目,mù
多,O,S,m,夕,duō
，,O,S,x,UNK,UNK
seg,seg,seg,seg,seg,seg
常,O,S,d,巾,cháng
随,O,S,v,阝,suí
情,O,B,n,忄,qíng
志,O,E,n,心,zhì
波,O,B,vn,氵,bō
动,O,E,vn,力,dòng
或,O,S,c,戈,huò
月,O,B,n,月,yuè
经,O,M,n,纟,jīng
周,O,M,n,口,zhōu
期,O,E,n,月,qī
而,O,S,c,而,ér
发,O,B,vn,又,fā
作,O,E,vn,亻,zuò
、,O,S,x,UNK,UNK
加,O,B,v,力,jiā
重,O,E,v,里,zhòng
，,O,S,x,UNK,UNK
伴,O,B,v,亻,bàn
有,O,E,v,月,yǒu
心,B-ZZ,B,a,心,xīn
烦,I-ZZ,E,a,火,fán
易,I-ZZ,B,nr,日,yì
怒,E-ZZ,E,nr,心,nù
，,O,S,x,UNK,UNK
胸,O,B,vn,月,xiōng
胁,O,E,vn,月,xié
、,O,S,x,UNK,UNK
乳,O,B,n,乚,rǔ
房,O,E,n,户,fáng
作,O,B,v,亻,zuò
胀,O,E,v,月,zhàng
或,O,S,c,戈,huò
痛,S-ZH,S,an,疒,tòng
，,O,S,x,UNK,UNK
口,B-ZZ,S,q,口,kǒu
干,E-ZZ,B,a,干,gān
苦,O,E,a,艹,kǔ
，,O,S,x,UNK,UNK
舌,B-SX,B,n,舌,shé
尖,I-SX,E,n,小,jiān
红,E-SX,S,a,纟,hóng
，,O,S,x,UNK,UNK
苔,B-SX,S,ng,艹,tái
黄,E-SX,S,nr,黄,huáng
，,O,S,x,UNK,UNK
脉,B-MX,B,n,月,mài
弦,I-MX,M,n,弓,xián
数,E-MX,E,n,攵,shù
。,O,S,x,UNK,UNK
seg,seg,seg,seg,seg,seg
理,O,B,n,王,lǐ
法,O,E,n,氵,fǎ
概,O,B,v,木,gài
要,O,E,v,覀,yào
邪,O,S,a,阝,xié
热,S-ZH,S,a,灬,rè
壅,O,S,g,土,yōng
遏,O,B,v,辶,è
于,O,E,v,二,yú
肺,O,B,n,月,fèi
胃,O,E,n,月,wèi
，,O,S,x,UNK,UNK
循,O,B,l,彳,xún
经,O,M,l,纟,jīng
上,O,E,l,一,shàng
蒸,O,S,n,艹,zhēng
，,O,S,x,UNK,UNK
腐,O,B,a,肉,fǔ
灼,O,E,a,火,zhuó
肌,O,B,n,月,jī
膜,O,E,n,月,mó
，,O,S,x,UNK,UNK
壅,O,S,g,土,yōng
滞,O,S,vg,氵,zhì
气,B-ZH,B,n,气,qì
血,E-ZH,E,n,血,xiě
而,O,S,c,而,ér
成,O,B,n,戈,chéng
疮,O,E,n,疒,chuāng
