ZZ,6,10
ZZ,165,169
ZZ,325,329
ZZ,821,825
ZH,6,9
ZH,165,168
ZH,325,328
ZH,821,824
FY,213,215
FY,369,371
FY,764,766
FY,987,989
FY,204,206
FY,739,741
FY,1217,1219
FY,677,679
FY,1333,1335
FY,1253,1255
FY,964,966
FY,191,193
FY,236,238
FY,360,362
FY,723,725
FY,957,959
FY,950,952
FY,214,216
FY,370,372
FY,765,767
FY,988,990
FY,1223,1225
ZF,596,598
ZF,594,596
ZF,1190,1192
MX,843,845
MX,1108,1110
SX,655,657
SX,653,655
SX,1321,1323
SX,1323,1325
SX,839,841
SX,912,914
SX,1104,1106
ZZ,653,655
ZZ,837,839
ZZ,1321,1323
ZZ,98,100
ZZ,1185,1187
ZZ,893,895
ZZ,891,893
FY,1242,1243
FY,1126,1127
