FJ,710,713
FY,739,741
FY,835,837
FY,721,723
FY,710,712
FY,695,697
FY,1003,1005
FY,804,806
FY,1015,1017
FY,1008,1010
FY,705,707
FY,810,812
FY,978,980
FY,733,735
FY,823,825
FY,889,891
FY,1038,1040
FY,853,855
FY,949,951
FY,1032,1034
FY,991,993
FY,677,679
FY,1026,1028
FY,738,740
FY,834,836
FY,918,920
FY,671,673
FY,788,790
FY,727,729
FY,829,831
FY,895,897
FY,985,987
FY,979,981
FY,694,696
FY,858,860
FY,913,915
FY,997,999
FY,847,849
FY,973,975
FY,883,885
FY,888,890
FY,817,819
FY,967,969
FY,745,747
FY,865,867
FY,907,909
ZF,522,524
MX,1088,1090
ZZ,148,150
ZZ,62,64
ZZ,60,62
FY,1021,1022
