ZZ,43,47
FY,497,500
FY,755,758
FY,900,903
ZZ,58,61
FY,264,266
FY,486,488
FY,931,933
FY,255,257
FY,252,254
FY,655,657
FY,392,394
FY,738,740
FY,883,885
FY,267,269
FY,251,253
FY,248,250
FY,229,231
FY,386,388
FY,732,734
FY,877,879
FY,416,418
FY,259,261
FY,497,499
FY,440,442
FY,756,758
FY,901,903
FY,247,249
FY,256,258
FY,300,302
FY,489,491
FY,263,265
FY,485,487
FY,930,932
FY,755,757
FY,900,902
FY,304,306
FY,762,764
FY,763,765
SX,525,527
SX,527,529
ZZ,43,45
ZZ,706,708
ZZ,525,527
ZZ,586,588
ZZ,855,857
ZZ,59,61
ZZ,41,43
ZZ,704,706
FY,304,305
FY,936,937
FY,248,249
FY,312,313
FY,493,494
FY,272,273
FY,223,224
FY,256,257
FY,297,298
FY,482,483
FY,433,434
FY,252,253
