ZH,793,797
SX,343,347
ZZ,343,347
FJ,198,201
FJ,192,195
ZH,164,167
ZH,343,346
ZH,6,9
ZH,443,446
ZH,85,88
ZH,610,613
ZH,793,796
ZH,263,266
MX,965,968
SX,130,133
SX,466,469
SX,800,803
SX,961,964
ZZ,62,65
ZZ,455,458
ZZ,864,867
FY,745,747
FY,282,284
FY,367,369
FY,495,497
FY,636,638
FY,707,709
FY,734,736
FY,993,995
FY,987,989
FY,913,915
FY,778,780
FY,196,198
FY,190,192
FY,574,576
FY,1000,1002
FY,919,921
ZH,87,89
ZH,236,238
ZH,612,614
ZH,795,797
ZH,165,167
ZH,263,265
ZF,704,706
ZF,314,316
ZF,316,318
ZF,181,183
ZF,192,194
MX,473,475
SX,143,145
SX,130,132
SX,466,468
SX,800,802
SX,961,963
ZZ,124,126
ZZ,350,352
ZZ,67,69
ZZ,460,462
ZZ,869,871
ZZ,165,167
ZZ,263,265
ZZ,348,350
FY,386,387
FY,516,517
FY,739,740
FY,540,541
FY,904,905
FY,533,534
FY,746,747
FY,898,899
FY,383,384
FY,395,396
FY,744,745
